 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
462,105.709,19,0.177,15.680,105.271,0
463,177.536,11,0.119,24.571,0.498,0
464,87.571,8,0.111,20.737,145.336,0
465,87.177,30,0.122,32.739,66.689,0
466,128.643,6,0.099,48.354,351.977,0
467,97.006,35,0.121,25.856,370.834,0
468,167.679,28,0.130,24.213,306.588,0
469,122.410,16,0.160,17.223,287.934,0
470,147.194,7,0.113,14.531,123.789,0
471,110.412,11,0.108,20.992,92.466,0
472,131.713,31,0.113,31.417,229.987,0
473,125.686,21,0.122,21.152,330.684,0
474,117.659,3,0.153,28.373,244.726,0
475,94.321,19,0.144,25.587,0.169,0
476,112.355,12,0.124,20.838,272.871,0
477,124.935,21,0.125,22.832,159.197,0
478,149.532,21,0.147,23.213,190.109,0
479,82.164,11,0.113,31.646,317.887,0
480,89.552,16,0.137,16.651,342.989,0
481,125.207,11,0.110,18.377,115.051,0
482,109.905,2,0.108,34.250,133.960,0
483,94.058,16,0.165,18.784,11.646,0
484,129.150,7,0.300,18.843,165.540,0
485,111.942,7,0.115,26.044,99.828,0
486,91.073,7,0.169,15.642,17.846,0
487,107.586,11,0.235,12.148,347.668,0
488,110.647,8,0.126,19.879,120.957,0
489,81.056,8,0.143,25.978,26.371,0
